
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,      Illu%,  ObsSub-LON, ObsSub-LAT,  SunSub-LON, SunSub-LAT,  SN.ang,  SN.dist,    NP.ang,  NP.dist,             delta,     deldot,     S-O-T,/r,     S-T-O,  L_Ap_SOL_Time,
 2021-Sep-01 00:00,*,m, 05 46 10.80, +24 59 29.4,   -9.277,  5.591,   34.35932,  357.395714,  -2.150877,  249.208108,   1.555894,   89.29,  -860.26,    0.2161, -905.077,  3.9567161585E+05,  0.0258357,   71.6301,/L,  108.2272,  07 45 26.7578,
 2021-Sep-01 01:00,*,m, 05 47 37.47, +25 01 15.2,   -9.262,  5.597,   34.12099,  357.174117,  -2.181068,  248.698975,   1.555689,   89.45,  -858.33,    0.3565, -904.531,  3.9590240142E+05,  0.1013594,   71.3425,/L,  108.5150,  08 45 27.6108,
 2021-Sep-01 02:00,*,m, 05 49 09.37, +25 01 50.3,   -9.245,  5.603,   33.86704,  356.972241,  -2.192567,  248.189832,   1.555483,   89.61,  -855.72,    0.5052, -903.409,  3.9639100828E+05,  0.1682973,   71.0355,/L,  108.8221,  09 45 28.4880,
 2021-Sep-01 03:00,*,m, 05 50 49.12, +25 01 24.6,   -9.226,  5.610,   33.58925,  356.800101,  -2.188311,  247.680681,   1.555276,   89.78,  -852.47,    0.6666, -901.802,  3.9709847438E+05,  0.2223025,   70.6989,/L,  109.1587,  10 45 29.3837,
 2021-Sep-01 04:00,*,m, 05 52 38.78, +25 00 11.1,   -9.204,  5.617,   33.28120,  356.665629,  -2.172333,  247.171521,   1.555068,   89.96,  -848.65,    0.8440, -899.833,  3.9797174906E+05,  0.2599370,   70.3249,/L,  109.5328,  11 45 30.2907,
 2021-Sep-01 05:00,*,m, 05 54 39.75, +24 58 25.7,   -9.179,  5.625,   32.93869,  356.574170,  -2.149439,  246.662353,   1.554859,   90.17,  -844.36,    1.0397, -897.646,  3.9894737419E+05,  0.2788844,   69.9079,/L,  109.9497,  12 45 31.2013,
 2021-Sep-01 06:00,*,m, 05 56 52.69, +24 56 25.4,   -9.151,  5.635,   32.55991,  356.528196,  -2.124847,  246.153175,   1.554648,   90.39,  -839.74,    1.2546, -895.397,  3.9995576970E+05,  0.2780720,   69.4456,/L,  110.4121,  13 45 32.1075,
 2021-Sep-01 07:00,*,m, 05 59 17.49, +24 54 27.4,   -9.122,  5.645,   32.14554,  356.527225,  -2.103818,  245.643988,   1.554436,   90.63,  -834.91,    1.4886, -893.243,  4.0092578976E+05,  0.2577003,   68.9383,/L,  110.9196,  14 45 33.0014,
 2021-Sep-01 08:00,*, , 06 01 53.29, +24 52 47.7,   -9.091,  5.656,   31.69862,  356.567953,  -2.091293,  245.134793,   1.554223,   90.89,  -830.03,    1.7402, -891.330,  4.0178923047E+05,  0.2191880,   68.3893,/L,  111.4688,  15 45 33.8764,
 2021-Sep-01 09:00,*, , 06 04 38.60, +24 51 40.6,   -9.059,  5.668,   31.22423,  356.644541,  -2.091585,  244.625588,   1.554009,   91.18,  -825.22,    2.0069, -889.789,  4.0248500975E+05,  0.1650474,   67.8043,/L,  112.0541,  16 45 34.7269,
 2021-Sep-01 10:00,*, , 06 07 31.39, +24 51 17.7,   -9.027,  5.680,   30.72914,  356.749036,  -2.108117,  244.116375,   1.553793,   91.48,  -820.62,    2.2856, -888.725,  4.0296279412E+05,  0.0987047,   67.1913,/L,  112.6675,  17 45 35.5490,
 2021-Sep-01 11:00,C, , 06 10 29.22, +24 51 47.4,   -8.995,  5.693,   30.22137,  356.871887,  -2.143226,  243.607153,   1.553577,   91.80,  -816.34,    2.5721, -888.213,  4.0318590405E+05,  0.0242808,   66.5599,/L,  113.2995,  18 45 36.3411,
 2021-Sep-01 12:00,A, , 06 13 29.37, +24 53 14.5,   -8.963,  5.706,   29.70962,  357.002518,  -2.198037,  243.097922,   1.553359,   92.14,  -812.46,    2.8620, -888.296,  4.0313338154E+05, -0.0536524,   65.9206,/L,  113.9395,  19 45 37.1033,
 2021-Sep-01 13:00, , , 06 16 28.99, +24 55 40.1,   -8.933,  5.719,   29.20280,  357.129936,  -2.272402,  242.588682,   1.553140,   92.48,  -809.07,    3.1507, -888.984,  4.0280114824E+05, -0.1303322,   65.2844,/L,  114.5764,  20 45 37.8380,
 2021-Sep-01 14:00, , , 06 19 25.29, +24 59 01.5,   -8.905,  5.732,   28.70953,  357.243353,  -2.364907,  242.079434,   1.552920,   92.83,  -806.20,    3.4337, -890.250,  4.0220221822E+05, -0.2010689,   64.6622,/L,  115.1995,  21 45 38.5493,
 2021-Sep-01 15:00, , , 06 22 15.66, +25 03 12.3,   -8.880,  5.744,   28.23757,  357.332796,  -2.472946,  241.570177,   1.552699,   93.18,  -803.86,    3.7069, -892.033,  4.0136596060E+05, -0.2615082,   64.0640,/L,  115.7987,  22 45 39.2432,
 2021-Sep-01 16:00, , , 06 24 57.80, +25 08 02.5,   -8.856,  5.756,   27.79348,  357.389696,  -2.592859,  241.060910,   1.552477,   93.52,  -802.03,    3.9665, -894.245,  4.0033643674E+05, -0.3078817,   63.4985,/L,  116.3652,  23 45 39.9267,
 2021-Sep-01 17:00, ,m, 06 27 29.92, +25 13 19.3,   -8.836,  5.767,   27.38213,  357.407423,  -2.720136,  240.551636,   1.552253,   93.85,  -800.67,    4.2098, -896.766,  3.9916986934E+05, -0.3372369,   62.9722,/L,  116.8925,  00 45 40.6077,
 2021-Sep-01 18:00, ,m, 06 29 50.79, +25 18 47.2,   -8.817,  5.777,   27.00647,  357.381734,  -2.849684,  240.042353,   1.552028,   94.16,  -799.69,    4.4349, -899.458,  3.9793134015E+05, -0.3476335,   62.4895,/L,  117.3762,  01 45 41.2941,
 2021-Sep-01 19:00, ,m, 06 31 59.90, +25 24 09.2,   -8.801,  5.786,   26.66727,  357.311120,  -2.976138,  239.533061,   1.551802,   94.46,  -798.99,    4.6408, -902.169,  3.9669086035E+05, -0.3382931,   62.0519,/L,  117.8148,  02 45 41.9936,
 2021-Sep-01 20:00, ,m, 06 33 57.47, +25 29 07.8,   -8.787,  5.794,   26.36303,  357.196990,  -3.094226,  239.023761,   1.551575,   94.73,  -798.43,    4.8282, -904.743,  3.9551901144E+05, -0.3096858,   61.6579,/L,  118.2097,  03 45 42.7131,
 2021-Sep-01 21:00,N,m, 06 35 44.52, +25 33 25.9,   -8.774,  5.801,   26.09007,  357.043676,  -3.199135,  238.514452,   1.551347,   94.97,  -797.84,    4.9985, -907.029,  3.9448240931E+05, -0.2635394,   61.3032,/L,  118.5652,  04 45 43.4580,
 2021-Sep-01 22:00,*,m, 06 37 22.77, +25 36 48.2,   -8.762,  5.808,   25.84265,  356.858224,  -3.286879,  238.005136,   1.551118,   95.20,  -797.08,    5.1547, -908.893,  3.9363929060E+05, -0.2027607,   60.9805,/L,  118.8885,  05 45 44.2321,
 2021-Sep-01 23:00,*,m, 06 38 54.58, +25 39 02.7,   -8.749,  5.814,   25.61340,  356.649976,  -3.354619,  237.495810,   1.550887,   95.40,  -795.99,    5.3003, -910.227,  3.9303554750E+05, -0.1312657,   60.6807,/L,  119.1890,  06 45 45.0373,
 2021-Sep-02 00:00,*,m, 06 40 22.78, +25 40 01.0,   -8.736,  5.820,   25.39378,  356.429942,  -3.400905,  236.986477,   1.550655,   95.58,  -794.41,    5.4399, -910.958,  3.9270153226E+05, -0.0537237,   60.3925,/L,  119.4777,  07 45 45.8733,
 2021-Sep-02 01:00,*,m, 06 41 50.50, +25 39 39.7,   -8.721,  5.826,   25.17467,  356.210028,  -3.425807,  236.477136,   1.550423,   95.75,  -792.24,    5.5784, -911.054,  3.9264991027E+05,  0.0247660,   60.1041,/L,  119.7665,  08 45 46.7378,
 2021-Sep-02 02:00,*,m, 06 43 20.88, +25 38 00.5,   -8.704,  5.832,   24.94707,  356.002172,  -3.430929,  235.967786,   1.550189,   95.92,  -789.40,    5.7208, -910.528,  3.9287475825E+05,  0.0990371,   59.8035,/L,  120.0674,  09 45 47.6265,
 2021-Sep-02 03:00,*,m, 06 44 56.90, +25 35 09.8,   -8.684,  5.839,   24.70270,  355.817476,  -3.419280,  235.458429,   1.549953,   96.08,  -785.85,    5.8717, -909.434,  3.9335199282E+05,  0.1642262,   59.4797,/L,  120.3914,  10 45 48.5336,
 2021-Sep-02 04:00,*,m, 06 46 41.12, +25 31 18.6,   -8.661,  5.846,   24.43465,  355.665415,  -3.395043,  234.949063,   1.549717,   96.25,  -781.59,    6.0351, -907.866,  3.9404108865E+05,  0.2161142,   59.1233,/L,  120.7481,  11 45 49.4519,
 2021-Sep-02 05:00,*,m, 06 48 35.54, +25 26 41.1,   -8.634,  5.855,   24.13785,  355.553198,  -3.363239,  234.439689,   1.549480,   96.44,  -776.68,    6.2141, -905.949,  3.9488792685E+05,  0.2514086,   58.7270,/L,  121.1447,  12 45 50.3738,
 2021-Sep-02 06:00,*,m, 06 50 41.45, +25 21 33.9,   -8.605,  5.864,   23.80935,  355.485326,  -3.329348,  233.930307,   1.549241,   96.64,  -771.21,    6.4107, -903.828,  3.9582851963E+05,  0.2679449,   58.2865,/L,  121.5855,  13 45 51.2911,
 2021-Sep-02 07:00,*,m, 06 52 59.38, +25 16 14.5,   -8.573,  5.874,   23.44849,  355.463362,  -3.298906,  233.420918,   1.549001,   96.86,  -765.29,    6.6256, -901.658,  3.9679329973E+05,  0.2647985,   57.8002,/L,  122.0721,  14 45 52.1962,
 2021-Sep-02 08:00,*,m, 06 55 29.11, +25 11 00.3,   -8.539,  5.885,   23.05686,  355.485931,  -3.277119,  232.911520,   1.548760,   97.12,  -759.05,    6.8582, -899.595,  3.9771164548E+05,  0.2423045,   57.2695,/L,  122.6032,  15 45 53.0822,
 2021-Sep-02 09:00,*, , 06 58 09.67, +25 06 07.4,   -8.503,  5.897,   22.63811,  355.548897,  -3.268529,  232.402114,   1.548518,   97.39,  -752.65,    7.1070, -897.787,  3.9851632919E+05,  0.2019971,   56.6986,/L,  123.1746,  16 45 53.9437,
 2021-Sep-02 10:00,*, , 07 00 59.46, +25 01 49.7,   -8.465,  5.909,   22.19763,  355.645707,  -3.276736,  231.892700,   1.548275,   97.70,  -746.23,    7.3694, -896.359,  3.9914761802E+05,  0.1464799,   56.0942,/L,  123.7798,  17 45 54.7769,
 2021-Sep-02 11:00,C, , 07 03 56.37, +24 58 18.3,   -8.428,  5.922,   21.74214,  355.767849,  -3.304194,  231.383278,   1.548030,   98.03,  -739.93,    7.6419, -895.417,  3.9955680987E+05,  0.0792443,   55.4647,/L,  124.4100,  18 45 55.5800,
 2021-Sep-02 12:00,A, , 07 06 57.88, +24 55 40.8,   -8.390,  5.936,   21.27923,  355.905391,  -3.352086,  230.873848,   1.547785,   98.38,  -733.90,    7.9205, -895.032,  3.9970904288E+05,  0.0044496,   54.8202,/L,  125.0555,  19 45 56.3532,
 2021-Sep-02 13:00, , , 07 10 01.22, +24 54 01.3,   -8.353,  5.949,   20.81688,  356.047572,  -3.420267,  230.364411,   1.547538,   98.75,  -728.23,    8.2009, -895.246,  3.9958526743E+05, -0.0733204,   54.1714,/L,  125.7052,  20 45 57.0989,
 2021-Sep-02 14:00, , , 07 13 03.53, +24 53 20.1,   -8.318,  5.963,   20.36300,  356.183412,  -3.507283,  229.854965,   1.547290,   99.14,  -723.04,    8.4787, -896.066,  3.9918331214E+05, -0.1493154,   53.5294,/L,  126.3483,  21 45 57.8213,
 2021-Sep-02 15:00, , , 07 16 02.02, +24 53 33.4,   -8.285,  5.975,   19.92495,  356.302328,  -3.610459,  229.345512,   1.547041,   99.53,  -718.38,    8.7497, -897.461,  3.9851801017E+05, -0.2188818,   52.9049,/L,  126.9741,  22 45 58.5262,
 2021-Sep-02 16:00, , , 07 18 54.08, +24 54 34.3,   -8.255,  5.988,   19.50911,  356.394736,  -3.726042,  228.836050,   1.546791,   99.92,  -714.30,    9.0100, -899.371,  3.9762038188E+05, -0.2777224,   52.3073,/L,  127.5729,  23 45 59.2208,
 2021-Sep-02 17:00, , , 07 21 37.48, +24 56 11.9,   -8.227,  5.999,   19.12060,  356.452616,  -3.849417,  228.326582,   1.546540,  100.31,  -710.79,    9.2563, -901.702,  3.9653589930E+05, -0.3221451,   51.7447,/L,  128.1368,  00 45 59.9128,
 2021-Sep-02 18:00, ,m, 07 24 10.49, +24 58 12.8,   -8.203,  6.010,   18.76290,  356.470016,  -3.975367,  227.817105,   1.546287,  100.69,  -707.84,    9.4861, -904.335,  3.9532189048E+05, -0.3492903,   51.2228,/L,  128.6598,  01 46 00.6103,
 2021-Sep-02 19:00, ,m, 07 26 31.98, +25 00 21.4,   -8.181,  6.020,   18.43768,  356.443472,  -4.098395,  227.307621,   1.546033,  101.04,  -705.36,    9.6979, -907.130,  3.9404418209E+05, -0.3573246,   50.7452,/L,  129.1386,  02 46 01.3209,
 2021-Sep-02 20:00, ,m, 07 28 41.52, +25 02 20.4,   -8.162,  6.029,   18.14472,  356.372302,  -4.213069,  226.798130,   1.545779,  101.37,  -703.26,    9.8911, -909.933,  3.9277312663E+05, -0.3455864,   50.3121,/L,  129.5728,  03 46 02.0515,
 2021-Sep-02 21:00,N,m, 07 30 39.47, +25 03 52.6,   -8.145,  6.037,   17.88182,  356.258745,  -4.314402,  226.288631,   1.545523,  101.67,  -701.39,   10.0664, -912.587,  3.9157921578E+05, -0.3146675,   49.9211,/L,  129.9648,  04 46 02.8075,
 2021-Sep-02 22:00,*,m, 07 32 26.94, +25 04 41.3,   -8.129,  6.044,   17.64498,  356.107908,  -4.398211,  225.779124,   1.545266,  101.93,  -699.62,   10.2255, -914.940,  3.9052853668E+05, -0.2664166,   49.5670,/L,  130.3198,  05 46 03.5927,
 2021-Sep-02 23:00,*,m, 07 34 05.76, +25 04 32.0,   -8.113,  6.051,   17.42860,  355.927504,  -4.461452,  225.269611,   1.545007,  102.17,  -697.74,   10.3711, -916.858,  3.8967837420E+05, -0.2038536,   49.2418,/L,  130.6458,  06 46 04.4089,
